"ID_sim","SNR","Method","Retention","Nonzero","Prediction"
"1 40","0.05","Lasso","1","2","540.280990741288"
"1 40","0.05","Relaxed Lasso","0","1","542.331853266267"
"1 40","0.05","RF","0","4","430.414221566107"
"1 41","0.05","Lasso","1","1","551.197087731513"
"1 41","0.05","Relaxed Lasso","1","1","552.504571472911"
"1 41","0.05","RF","3","6","496.809676233384"
"1 42","0.05","Lasso","0","1","707.744068844377"
"1 42","0.05","Relaxed Lasso","0","0","709.896006686315"
"1 42","0.05","RF","1","6","620.786755672617"
"1 43","0.05","Lasso","1","1","481.980059486102"
"1 43","0.05","Relaxed Lasso","1","1","483.295402942629"
"1 43","0.05","RF","1","6","359.957570336168"
"1 44","0.05","Lasso","1","1","470.488477939138"
"1 44","0.05","Relaxed Lasso","1","1","469.681351833648"
"1 44","0.05","RF","1","5","393.744309686471"
"1 45","0.05","Lasso","2","3","531.816979572354"
"1 45","0.05","Relaxed Lasso","1","1","541.119340448184"
"1 45","0.05","RF","2","2","460.349456223894"
"1 46","0.05","Lasso","0","3","628.6590040236"
"1 46","0.05","Relaxed Lasso","0","2","627.596168513313"
"1 46","0.05","RF","0","4","482.806450331254"
"1 47","0.05","Lasso","0","0","580.05946410338"
"1 47","0.05","Relaxed Lasso","0","0","575.501289689944"
"1 47","0.05","RF","0","5","467.71430574993"
"1 48","0.05","Lasso","0","18","530.912225146634"
"1 48","0.05","Relaxed Lasso","0","18","528.794639225818"
"1 48","0.05","RF","0","4","442.230251297293"
"1 49","0.05","Lasso","0","1","612.85520875766"
"1 49","0.05","Relaxed Lasso","0","1","611.179638195662"
"1 49","0.05","RF","1","5","552.841581953029"
"1 50","0.05","Lasso","1","1","528.711853967889"
"1 50","0.05","Relaxed Lasso","1","1","528.023107064361"
"1 50","0.05","RF","1","6","417.90586319584"
"1 51","0.05","Lasso","1","9","703.024108285568"
"1 51","0.05","Relaxed Lasso","1","2","699.35285273215"
"1 51","0.05","RF","1","6","615.893825424772"
"1 52","0.05","Lasso","1","1","573.094508185722"
"1 52","0.05","Relaxed Lasso","1","1","572.559565912946"
"1 52","0.05","RF","1","3","472.976127038694"
"1 53","0.05","Lasso","0","0","784.269869001437"
"1 53","0.05","Relaxed Lasso","0","0","783.897833512199"
"1 53","0.05","RF","1","4","662.279428887855"
"1 54","0.05","Lasso","1","2","595.564200627421"
"1 54","0.05","Relaxed Lasso","1","2","600.525261874846"
"1 54","0.05","RF","0","4","538.315765916503"
"1 55","0.05","Lasso","0","0","703.488855462383"
"1 55","0.05","Relaxed Lasso","0","0","710.637512399895"
"1 55","0.05","RF","2","4","649.992006448388"
"1 56","0.05","Lasso","3","11","585.061993989459"
"1 56","0.05","Relaxed Lasso","2","4","592.212405721394"
"1 56","0.05","RF","1","7","510.569326758893"
"1 57","0.05","Lasso","0","5","697.715108262096"
"1 57","0.05","Relaxed Lasso","0","5","707.173925982594"
"1 57","0.05","RF","0","6","639.400761859042"
"1 58","0.05","Lasso","0","0","356.880693699147"
"1 58","0.05","Relaxed Lasso","0","0","358.251761636481"
"1 58","0.05","RF","1","5","326.593248693985"
"1 59","0.05","Lasso","0","0","749.324745795476"
"1 59","0.05","Relaxed Lasso","0","0","750.860737798653"
"1 59","0.05","RF","1","5","689.881429747066"
"1 60","0.05","Lasso","1","13","717.064333424978"
"1 60","0.05","Relaxed Lasso","1","7","718.99219841909"
"1 60","0.05","RF","0","5","618.86664412797"
"1 61","0.05","Lasso","2","4","653.752438290029"
"1 61","0.05","Relaxed Lasso","2","4","653.564693321444"
"1 61","0.05","RF","3","5","511.879306894659"
"1 62","0.05","Lasso","0","0","707.322609035285"
"1 62","0.05","Relaxed Lasso","0","0","697.674040148132"
"1 62","0.05","RF","0","2","689.61928959154"
